Route	Time	Fuel
0	115	105,3299986
1	18	29,1540675624
2	25	44,2270378208
3	139	117,57663699
4	253	177,059311722
5	56	48,9835341912
6	132	125,069978013
7	51	75,5702826446
8	71	61,1801622797
9	80	77,995731144
10	86	66,306490741
11	137	131,279679221
12	73	69,3987183569
13	80	57,2555323312
14	77	100,184874298
15	41	37,9274086289
16	87	61,5269538882
17	77	67,9385958962
18	87	67,629393908
19	161	113,201003647
20	58	114,307152522
21	101	56,3093479951
22	213	153,465755467
23	73	87,2987318073
24	137	118,667053406
25	61	78,4439655361
26	76	48,139737483
27	106	96,3696804146
28	70	80,1591770055
29	110	133,309055349
30	109	109,037195815
31	347	120,488628973
32	179	106,754163162
33	49	53,1248825959
34	113	126,916312466
35	61	114,418090653
36	23	41,4490019468
37	280	180,209158561
38	52	41,3348181733
39	161	125,705971274
40	75	51,3662017673
41	349	124,132879124
42	64	41,8647101243
43	73	68,9356226091
44	100	87,1480609774
45	253	131,949364822
46	113	133,969991499
47	140	108,234169665
48	395	174,448517463
49	151	113,162273389
50	135	103,418430086
51	95	96,0224644686
52	130	70,4850901487
53	152	119,702576007
54	126	103,880339887
55	156	127,594157481
56	80	48,6963240016
57	85	45,5508380835
58	124	97,4656140274
59	277	167,800651053
60	195	122,31682835
61	103	112,785920608
62	144	83,8622952506
63	108	124,680186246
64	121	100,983640733
65	27	46,4848021071
66	160	116,278120498
67	58	66,1982303397
68	54	75,931558198
69	140	108,34065818
70	36	85,4834094402
71	109	94,9201078512
72	152	132,221433001
73	135	118,586802712
74	86	83,2553591329
75	23	51,5850096187
76	129	97,0318223076
77	148	89,5965991529
78	153	133,950499999
79	23	34,1740168775
80	238	167,709067755
81	71	75,3448432025
82	68	61,1588298692
83	96	70,436479082
84	58	64,5912563041
85	210	168,137688893
86	111	147,80960569
87	75	75,2320206786
88	100	78,8550274952
89	56	69,071683833
90	40	56,9684080754
91	181	126,697598549
92	175	122,091548005
93	117	111,089590178
94	50	76,1227861397
95	84	101,052435822
96	147	130,403254832
97	120	107,864653411
98	167	100,253554474
99	87	76,778773012
100	188	131,701723334
101	55	85,3946821009
102	66	98,8004954338
103	68	73,768626319
104	66	61,0225716766
105	91	70,9136010443
106	81	95,032989034
107	117	82,9695618206
