Route	Time	Fuel
0	213	182.035024927
1	56	93.804138376
2	35	35.6411166082
3	148	105.113272519
4	717	294.797064892
5	36	51.9429803972
6	77	93.9185583752
7	186	86.1662948392
8	121	109.370920145
9	223	145.276317865
10	79	62.3964406639
11	175	157.563473992
12	159	169.978465586
13	183	133.837231923
14	71	94.6743693425
15	295	71.1177187909
16	105	110.750170107
17	40	107.776746543
18	91	73.8373242005
19	291	179.64870592
20	236	123.714674346
21	56	62.0692675175
22	442	279.672199604
23	927	286.170904555
24	594	244.441665847
25	175	182.510377612
26	21	34.6710735852
27	590	243.61850387
28	133	137.94693338
29	232	130.975097519
30	274	100.62504781
31	327	180.818290365
32	120	337.159126036
33	125	144.752443213
34	976	338.141641048
35	31	38.1566275712
36	351	222.483780975
37	59	66.1505037868
38	321	213.002742712
39	330	287.275914476
40	61	112.278879127
41	105	92.5002734356
42	117	113.259524438
43	569	232.540001338
44	112	102.319911473
45	145	120.577385689
46	35	46.087685132
47	556	235.282376065
48	252	217.036656195
49	301	143.640567467
50	289	329.75630612
51	428	183.705214853
52	616	210.780141671
53	290	206.591567936
54	86	125.120795049
55	50	40.050351071
56	745	230.430456255
57	755	328.55952019
58	697	256.412461568
59	180	148.877606462
60	692	199.289949621
61	175	136.438859807
62	443	220.584494801
63	43	49.5084075276
64	932	304.973617034
65	32	41.5813816634
66	210	105.643509652
67	197	173.76026273
68	122	154.745381424
69	123	121.372807426
70	828	543.639781306
71	233	161.575435428
72	219	141.005897149
73	39	43.4956410856
74	204	117.550064042
75	255	143.329179928
76	411	214.780865587
77	21	28.0524934442
78	732	289.442279459
79	524	176.660853591
80	104	128.444175546
81	454	196.435537598
82	341	272.837977457
83	576	261.038840802
84	305	160.517105537
85	104	123.191434937
86	143	117.115836441
87	152	94.4161269425
88	31	44.8464299524
89	50	50.4341573563
90	756	479.183160842
91	254	157.028091808
92	600	269.628890243
93	143	145.737245985
94	100	84.080611156
95	1854	529.589786063
96	255	165.915429187
97	119	181.837442832
98	151	96.6083514131
99	296	232.683408067
100	125	131.551093058
101	366	164.147357762
102	96	68.0265492263
103	53	66.9045867973
104	192	106.195447885
105	233	156.227557666
106	276	131.678272168
107	222	122.65434547
